,air_area_name,air_area_name0,visitors,store,visit_per_store,cummulative_visitsperstore
0,Hokkaidō Sapporo-shi Kotoni 2 Jō,2,77796,1,77796.0,0.18122863256781524
1,Hyōgo-ken Himeji-shi Yasuda,3,38702,1,38702.0,0.27138635966997454
2,Hokkaidō Asahikawa-shi 6 Jōdōri,2,111644,3,37214.666666666664,0.35807928927390087
3,Hokkaidō Sapporo-shi Minami 3 Jōnishi,2,145616,4,36404.0,0.44288374117372536
4,Shizuoka-ken Hamamatsu-shi Motoshirochō,6,30257,1,30257.0,0.5133685313378005
5,Tōkyō-to Chūō-ku Ginza,7,29948,1,29948.0,0.5831334946796295
6,Ōsaka-fu Ōsaka-shi Ōgimachi,8,59220,2,29610.0,0.6521110746366067
7,Niigata-ken Niigata-shi Gakkōchōdōri 1 Banchō,5,63005,3,21001.666666666668,0.7010352266707096
8,Ōsaka-fu Ōsaka-shi Shinmachi,8,31778,2,15889.0,0.7380492343686634
9,Hiroshima-ken Hiroshima-shi Kokutaijimachi,1,40803,3,13601.0,0.7697332622306982
